GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JFreeChart,org.jfree.chart.plot,PlotRenderingInfo,74,147,9,11,18,42,9,16,2,13
JFreeChart,org.jfree.chart.plot,CombinedDomainXYPlot,351,557,59,53,90,154,53,33,13,17
JFreeChart,org.jfree.chart.plot,PolarPlot,1188,1099,178,104,312,302,158,77,53,41
JFreeChart,org.jfree.chart.plot,DatasetRenderingOrder,6,55,3,7,3,17,3,8,0,6
JFreeChart,org.jfree.chart.plot,DialShape,24,48,8,4,9,14,7,5,1,5
JFreeChart,org.jfree.chart.plot,Plot,380,943,85,103,114,275,84,81,21,50
JFreeChart,org.jfree.chart.plot,PiePlotState,0,80,0,0,0,34,0,21,0,21
JFreeChart,org.jfree.chart.plot,ThermometerPlot,1186,761,118,74,252,188,125,45,48,25
JFreeChart,org.jfree.chart.plot,RingPlot,422,262,45,25,111,90,37,28,14,16
JFreeChart,org.jfree.chart.plot,PiePlot,1430,2758,143,217,269,739,139,174,34,99
JFreeChart,org.jfree.chart.plot,PieLabelDistributor,107,227,13,21,22,50,10,16,2,7
JFreeChart,org.jfree.chart.plot,PieLabelRecord,38,157,7,19,10,45,10,19,4,12
JFreeChart,org.jfree.chart.plot,PlotState,0,11,0,0,0,4,0,2,0,2
JFreeChart,org.jfree.chart.plot,FastScatterPlot,213,804,37,65,70,218,49,52,20,30
JFreeChart,org.jfree.chart.plot,CompassPlot,824,376,69,38,161,107,66,27,17,18
JFreeChart,org.jfree.chart.plot,DefaultDrawingSupplier,14,763,7,49,5,146,6,40,0,18
JFreeChart,org.jfree.chart.plot,CategoryMarker,2,126,1,11,1,34,1,15,0,10
JFreeChart,org.jfree.chart.plot,Crosshair,73,596,0,36,25,164,19,41,19,23
JFreeChart,org.jfree.chart.plot,MeterPlot,182,1366,50,96,44,350,64,67,19,39
JFreeChart,org.jfree.chart.plot,IntervalMarker,18,170,1,11,4,45,3,16,2,11
JFreeChart,org.jfree.chart.plot,AbstractPieLabelDistributor,0,31,0,0,0,10,0,5,0,5
JFreeChart,org.jfree.chart.plot,CombinedRangeXYPlot,352,508,59,43,95,142,50,29,12,16
JFreeChart,org.jfree.chart.plot,CombinedRangeCategoryPlot,196,554,39,49,51,155,36,30,6,16
JFreeChart,org.jfree.chart.plot,MultiplePiePlot,362,411,47,33,85,123,35,30,6,19
JFreeChart,org.jfree.chart.plot,MeterInterval,12,123,6,8,6,36,6,11,0,10
JFreeChart,org.jfree.chart.plot,XYCrosshairState,3,0,0,0,2,0,1,0,1,0
JFreeChart,org.jfree.chart.plot,PlotOrientation,0,72,1,9,0,23,1,12,0,8
JFreeChart,org.jfree.chart.plot,WaferMapPlot,581,0,44,0,131,0,36,0,14,0
JFreeChart,org.jfree.chart.plot,PolarAxisLocation,6,117,3,19,3,34,3,13,0,5
JFreeChart,org.jfree.chart.plot,CombinedDomainCategoryPlot,297,591,47,51,75,159,44,32,10,17
JFreeChart,org.jfree.chart.plot,XYPlot,1793,4718,324,534,451,1252,288,380,53,186
JFreeChart,org.jfree.chart.plot,ValueMarker,11,84,1,7,3,26,2,10,1,7
